,prd_no,phone,addr,b_agency,deposit,rent
0,3103384,010-123-4567,서울시 강남구 역삼동 17,TODAY공인중개사(이인규),5000,50
1,3150497,010-123-4567,서울시 강남구 역삼동 1,TODAY공인중개사(이인규),11000,60
2,3181675,010-123-4567,서울시 강남구 역삼동 20,TODAY공인중개사(이인규),5000,60
3,3190410,010-123-4567,서울시 강남구 역삼동 28,건우공인중개사(김상모),70,70
4,3228631,010-123-4567,서울시 강남구 역삼동 10,HS강남공인중개사(김현수),1000,96
5,3249401,010-123-4567,서울시 강남구 역삼동 12,도원공인중개사(손석진),65,65
6,3262172,010-123-4567,서울시 강남구 역삼동 9,스타공인중개사(박정직),2000,50
7,3303061,010-123-4567,서울시 강남구 역삼동 8,동하공인중개사(임성우),1000,60
8,3309372,010-123-4567,서울시 강남구 역삼동 21,한백부동산공인중개사(김남조),75,75
9,3317227,010-123-4567,서울시 강남구 역삼동 15,커피한잔공인중개사(손별),500,67
10,3322860,010-123-4567,서울시 강남구 역삼동 7,한강공인중개사(김상헌),1000,80
11,3330749,010-123-4567,서울시 강남구 역삼동 38,미래공인중개사(김유철),1000,85
12,3330951,010-123-4567,서울시 강남구 역삼동 13,강남우리공인중개사(어정화),2000,150
13,3331511,010-123-4567,서울시 강남구 역삼동 4,한백부동산공인중개사(김남조),110,110
14,3332380,010-123-4567,서울시 강남구 역삼동 34,한백부동산공인중개사(김남조),10000,100
15,3345445,010-123-4567,서울시 강남구 역삼동 33,대청공인중개사(이선영),14000,70
16,3346510,010-123-4567,서울시 강남구 역삼동 23,도원공인중개사(손석진),65,65
17,3350050,010-123-4567,서울시 강남구 역삼동 29,NB공인중개사(길주현),1000,70
18,3373198,010-123-4567,서울시 강남구 역삼동 5,강남코리아공인중개사(기숙영),15000,70
19,3376434,010-123-4567,서울시 강남구 역삼동 6,열린공인중개사(강광수),1000,85
20,3376834,010-123-4567,서울시 강남구 역삼동 3,미래공인중개사(김유철),3000,95
21,3405679,010-123-4567,서울시 강남구 역삼동 16,강남코리아공인중개사(기숙영),15000,60
22,3406670,010-123-4567,서울시 강남구 역삼동 24,TODAY공인중개사(이인규),1000,60
23,3418616,010-123-4567,서울시 강남구 역삼동 18,나무공인중개사(조민영),90,90
24,3435418,010-123-4567,서울시 강남구 역삼동 41,친절한공인중개사(김천호),500,65
25,3438747,010-123-4567,서울시 강남구 역삼동 37,TODAY공인중개사(이인규),3000,100
26,3440906,010-123-4567,서울시 강남구 역삼동 2,열린공인중개사(강광수),5000,65
27,3446619,010-123-4567,서울시 강남구 역삼동 31,도원공인중개사(손석진),68,68
28,3446920,010-123-4567,서울시 강남구 역삼동 39,한백부동산공인중개사(김남조),75,75
29,3450803,010-123-4567,서울시 강남구 역삼동 35,스타공인중개사(박정직),6000,50
30,3451078,010-123-4567,서울시 강남구 역삼동 32,스타공인중개사(박정직),4000,40
31,3456814,010-123-4567,서울시 강남구 역삼동 19,한강공인중개사(김상헌),300,80
32,3467204,010-123-4567,서울시 강남구 역삼동 0,TODAY공인중개사(이인규),1000,100
33,3471049,010-123-4567,서울시 강남구 역삼동 36,정성공인중개사(정문식),100,100
34,3484623,010-123-4567,서울시 강남구 역삼동 27,웰컴공인중개사(이영진),1000,120
35,3493254,010-123-4567,서울시 강남구 역삼동 25,아셈타운공인중개사(임현옥),7000,100
36,3494055,010-123-4567,서울시 강남구 역삼동 14,청록공인중개사(하순자),3000,60
37,3495453,010-123-4567,서울시 강남구 역삼동 30,부동산네트워크공인중개사(황창문),8000,55
38,3501551,010-123-4567,서울시 강남구 역삼동 42,강남코리아공인중개사(기숙영),3000,75
39,3501554,010-123-4567,서울시 강남구 역삼동 40,강남코리아공인중개사(기숙영),1000,63
40,3501566,010-123-4567,서울시 강남구 역삼동 22,강남코리아공인중개사(기숙영),1000,65
41,3501607,010-123-4567,서울시 강남구 역삼동 26,강남코리아공인중개사(기숙영),2000,63
42,3505011,010-123-4567,서울시 강남구 역삼동 11,H공인중개사(김용만),15000,70
