,ranking,title,url,price
0,1,옥주부 돈까스(등심4팩+치즈2팩+치킨4팩+소스10팩) 쿠폰적용가 22740원,http://item.gmarket.co.kr/Item?goodscode=2537462170&ver=638084404575174275,"37,900원"
1,2,[광동]팁코쇼군오렌지주스1L X6개,http://item.gmarket.co.kr/Item?goodscode=2671232684&ver=638084404575174275,"25,000원"
2,3,[스파클]스파클생수 2L 30병,http://item.gmarket.co.kr/Item?goodscode=1510637585&ver=638084404575174275,"16,900원"
3,4,[햇반]CJ 햇반 210g 36개 1박스,http://item.gmarket.co.kr/Item?goodscode=1651273917&ver=638084404575174275,"38,610원"
4,5,[광동]팁코쇼군오렌지주스1L X3개,http://item.gmarket.co.kr/Item?goodscode=2671227525&ver=638084404575174275,"13,000원"
5,6,[메가박스](스마일클럽)일반예매권2D-주중/주말,http://item.gmarket.co.kr/Item?goodscode=2722634859&ver=638084404575174275,"8,500원"
6,7,참닭 춘천형 닭갈비 700g x 4팩 총 2.8kg (쿠폰가 18880원),http://item.gmarket.co.kr/Item?goodscode=2098489802&ver=638084404575174275,"23,600원"
7,8,우듬지팜 산지직송 스테비아 방울토망고 500g x 4팩,http://item.gmarket.co.kr/Item?goodscode=2545443664&ver=638084404575174275,"19,900원"
8,9,[Gfresh]국내산 피데기 오징어 반건조오징어 10마리(약700g) / 최종가 12540원,http://item.gmarket.co.kr/Item?goodscode=2115868917&ver=638084404575174275,"20,900원"
9,10,[스팸]스팸 클래식 340g x9개,http://item.gmarket.co.kr/Item?goodscode=2471146479&ver=638084404575174275,"36,470원"
10,11,[풀무원]노엣지피자 리코타치즈 2판 + 콤비네이션 2판 +증정,http://item.gmarket.co.kr/Item?goodscode=2153398849&ver=638084404575174275,"26,010원"
11,12,[Gfresh]통영 생굴 2kg (19740원 40%쿠폰가)횟감용 햇굴 출시 통영 49번 경매인 산지직송,http://item.gmarket.co.kr/Item?goodscode=2250306667&ver=638084404575174275,"32,900원"
12,13,[널담]널담은뚱카롱/마카롱 /8구 2박스/사랑+감동세트/쿠폰가16030원,http://item.gmarket.co.kr/Item?goodscode=2423047704&ver=638084404575174275,"22,900원"
13,14,[너트리]백진미채 1kg 국내가공 /16560원 쿠폰가,http://item.gmarket.co.kr/Item?goodscode=1558350154&ver=638084404575174275,"20,700원"
14,15,[베베숲]베베숲 프리미어 70매 캡 20팩 (20%+15%쿠폰),http://item.gmarket.co.kr/Item?goodscode=1924117795&ver=638084404575174275,"35,300원"
15,16,[광동]팁코ABC혼합주스1LX3개,http://item.gmarket.co.kr/Item?goodscode=2671059150&ver=638084404575174275,"13,000원"
16,17,[안티프라그](설특별구성 정품 한세트 더) 부광 얇은헤드 칫솔 초극세모 12입 X 3세트 + 칫솔,http://item.gmarket.co.kr/Item?goodscode=2184819687&ver=638084404575174275,"15,000원"
17,18,구운캐슈넛 1kg 쿠폰가 9800원 22년산,http://item.gmarket.co.kr/Item?goodscode=1999657342&ver=638084404575174275,"12,250원"
18,19,[구구]구구 크러스터 아이스크림 660ml 6개,http://item.gmarket.co.kr/Item?goodscode=2496160275&ver=638084404575174275,"26,900원"
19,20,[해듬뿍]완도산 활전복 실속세트 쿠폰가 29940원 특대 9-10미 1KG  선물 횟감용,http://item.gmarket.co.kr/Item?goodscode=1434983942&ver=638084404575174275,"49,900원"
20,21,[하림](신선) (냉장) FreshUP 닭볶음탕 600g 3팩,http://item.gmarket.co.kr/Item?goodscode=2310543681&ver=638084404575174275,"18,900원"
21,22,[롯데칠성](20+15% 혜택가 12280원) 펩시콜라 제로 라임향 ECO무라벨 300ml 20펫/탄산음료/펩시제로 사이다/음료수,http://item.gmarket.co.kr/Item?goodscode=2248530747&ver=638084404575174275,"18,900원"
22,23,[비비고]동그랑땡 560g + 해물완자 510g + 남도떡갈비 450g,http://item.gmarket.co.kr/Item?goodscode=1945537584&ver=638084404575174275,"22,020원"
23,24,촌아저씨 하루한알 12brix이상 이온수 세척사과 5kg(28-32과),http://item.gmarket.co.kr/Item?goodscode=2283631248&ver=638084404575174275,"15,900원"
24,25,(특가)EBS 만점왕 세트 선택구매,http://item.gmarket.co.kr/Item?goodscode=2729052086&ver=638084404575174275,"49,100원"
25,26,[소문난삼부자김]소문난오부자 재래도시락김5g 72봉,http://item.gmarket.co.kr/Item?goodscode=1579120887&ver=638084404575174275,"19,800원"
26,27,[비비고]비비고 사골곰탕 500g 18개,http://item.gmarket.co.kr/Item?goodscode=1649311897&ver=638084404575174275,"20,320원"
27,28,[애슐리]애슐리 볶음밥 3종(12인분) 통새우4+케이준4+랍스터4/쿠폰가23520원,http://item.gmarket.co.kr/Item?goodscode=1892487833&ver=638084404575174275,"29,400원"
